epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.27769,1.55857,4.63629,0.95672,0.005,0.34615,0.00405,0.0019,1.45827,4.19656,0.84219,4e-05,4e-05,4e-05
2,5.92814,1.45283,4.26124,0.91614,0.00778,0.53846,0.01119,0.00452,1.49461,4.16409,0.84367,9.901e-05,9.901e-05,9.901e-05
3,8.58008,1.71169,3.90467,0.92341,0.00889,0.61538,0.01728,0.00629,1.44691,4.12466,0.84602,0.000156832,0.000156832,0.000156832
4,11.2509,1.37586,3.02731,0.83551,0.00778,0.53846,0.01483,0.00529,1.47147,4.01697,0.8446,0.000213466,0.000213466,0.000213466
5,13.9032,1.46381,2.44302,0.92168,0.00778,0.53846,0.01492,0.00508,1.54533,3.96892,0.85029,0.000268912,0.000268912,0.000268912
6,16.6281,1.46607,2.4122,0.86993,0.00778,0.53846,0.01412,0.00405,1.7599,3.85679,0.85647,0.00032317,0.00032317,0.00032317
7,19.2417,1.46058,2.4473,0.86826,0.00778,0.53846,0.01377,0.00302,1.83841,3.90435,0.8621,0.00037624,0.00037624,0.00037624
8,21.9321,1.40093,2.02597,0.86478,0.00667,0.46154,0.0101,0.00192,1.66697,3.92565,0.86334,0.000428122,0.000428122,0.000428122
9,24.5892,1.39157,1.9279,0.85566,0.00556,0.38462,0.00763,0.00149,1.5412,3.92441,0.86138,0.000478816,0.000478816,0.000478816
10,27.1847,1.41601,1.71409,0.88566,0.00611,0.42308,0.00873,0.00194,1.59906,3.90318,0.83994,0.000528322,0.000528322,0.000528322
11,29.8462,1.6704,1.78927,0.8611,0.00778,0.53846,0.01236,0.00307,1.72366,3.83654,0.84384,0.00057664,0.00057664,0.00057664
12,32.4085,1.5309,1.72586,0.87487,0.00778,0.53846,0.01236,0.0036,1.716,3.77659,0.86258,0.00062377,0.00062377,0.00062377
13,35.1109,1.57939,1.66658,0.86266,0.00944,0.65385,0.01411,0.00546,1.79127,3.69608,0.865,0.000669712,0.000669712,0.000669712
14,37.7152,1.56376,2.08321,0.8851,0.00944,0.65385,0.01492,0.00666,1.66657,3.53381,0.85984,0.000714466,0.000714466,0.000714466
15,40.2619,1.41848,1.63193,0.88671,0.00944,0.65385,0.01492,0.00666,1.66657,3.53381,0.85984,0.000758032,0.000758032,0.000758032
16,42.8723,1.46577,1.64993,0.89194,0.00944,0.65385,0.01311,0.00578,1.73236,3.59386,0.8565,0.00080041,0.00080041,0.00080041
17,45.5358,1.30562,1.49608,0.91421,0.00944,0.65385,0.01538,0.00698,1.71059,3.5234,0.85642,0.0008416,0.0008416,0.0008416
18,48.149,1.53376,1.5534,0.89035,0.00944,0.65385,0.01538,0.00698,1.71059,3.5234,0.85642,0.000881602,0.000881602,0.000881602
19,50.7277,1.55,1.69639,0.86833,0.01056,0.73077,0.05034,0.02444,1.59476,3.31907,0.85182,0.000920416,0.000920416,0.000920416
20,53.3652,1.36266,1.46308,0.88338,0.01111,0.76923,0.09117,0.0361,1.57002,3.16499,0.84397,0.000958042,0.000958042,0.000958042
21,55.9415,1.42497,1.49693,0.87193,0.01111,0.76923,0.09117,0.0361,1.57002,3.16499,0.84397,0.00099448,0.00099448,0.00099448
22,58.6597,1.36236,1.34681,0.86092,0.01056,0.73077,0.1265,0.05222,1.70324,2.90844,0.87702,0.00102973,0.00102973,0.00102973
23,61.315,1.34795,1.47095,0.87835,0.01056,0.73077,0.1265,0.05222,1.70324,2.90844,0.87702,0.00106379,0.00106379,0.00106379
24,63.9283,1.35167,1.45859,0.85402,0.31761,0.15385,0.2183,0.09,1.74083,2.871,0.86625,0.00109667,0.00109667,0.00109667
25,66.5545,1.38558,1.62846,0.8749,0.31761,0.15385,0.2183,0.09,1.74083,2.871,0.86625,0.00112835,0.00112835,0.00112835
26,69.1897,1.46462,1.57307,0.95593,0.01111,0.76923,0.4368,0.15411,1.63156,2.95482,0.8567,0.00115885,0.00115885,0.00115885
27,71.9932,1.34639,1.60085,0.89605,0.01111,0.76923,0.4368,0.15411,1.63156,2.95482,0.8567,0.00118816,0.00118816,0.00118816
28,74.5786,1.5158,1.42603,0.89365,0.01056,0.73077,0.27749,0.12767,1.61908,2.89163,0.85778,0.00121628,0.00121628,0.00121628
29,77.165,1.66068,1.78817,0.87488,0.01056,0.73077,0.27749,0.12767,1.61908,2.89163,0.85778,0.00124322,0.00124322,0.00124322
30,79.8022,1.39097,1.44672,0.85729,0.01056,0.73077,0.27749,0.12767,1.61908,2.89163,0.85778,0.00126896,0.00126896,0.00126896
31,82.4207,1.5092,1.54184,0.90465,0.5479,0.07692,0.45337,0.21738,1.5599,2.61428,0.85856,0.00129352,0.00129352,0.00129352
32,85.0104,1.50386,1.63804,0.88517,0.5479,0.07692,0.45337,0.21738,1.5599,2.61428,0.85856,0.00131689,0.00131689,0.00131689
33,87.6577,1.44074,1.51926,0.88888,0.53177,0.21919,0.51113,0.25973,1.65008,2.42542,0.87099,0.00133907,0.00133907,0.00133907
34,90.3824,1.36723,1.33251,0.87478,0.53177,0.21919,0.51113,0.25973,1.65008,2.42542,0.87099,0.0013466,0.0013466,0.0013466
35,92.9854,1.4562,1.57825,0.96379,0.53177,0.21919,0.51113,0.25973,1.65008,2.42542,0.87099,0.0013268,0.0013268,0.0013268
36,95.5652,1.38854,1.34469,0.8717,0.76799,0.38213,0.64934,0.26075,1.6323,2.23923,0.86748,0.001307,0.001307,0.001307
37,98.1487,1.39533,1.42949,0.89014,0.76799,0.38213,0.64934,0.26075,1.6323,2.23923,0.86748,0.0012872,0.0012872,0.0012872
38,100.763,1.37945,1.49916,0.88204,0.76799,0.38213,0.64934,0.26075,1.6323,2.23923,0.86748,0.0012674,0.0012674,0.0012674
39,103.399,1.29165,1.30425,0.85221,0.24313,0.42308,0.18317,0.08407,1.64202,2.41123,0.8637,0.0012476,0.0012476,0.0012476
